plate_number,owner_name,address,vehicle_year,vehicle_make,vehicle_model,vehicle_color,reg_expiry,insurance,insurance_provider,policy_number,fines,fine_amount,is_flagged
BH·JA1890,Michael Farrell,"16400 Wise Route Suite 278, Hoffmanville, CA 91074",2022,Suzuki,Dzire,Gray,2028-09-17,No,,,1,273,False
ME·GA9116,Kimberly Davenport,"2045 Rachel Fords, Lake Curtis, WI 73886",2022,Honda,Civic,Maroon,2026-11-14,Yes,Himalayan General Insurance,POL-32321899,0,0,False
PG·PA2797,Jennifer Oliver,"26025 Pham Way, West Erik, UT 14669",2013,Nissan,Altima,Green,2028-11-23,Yes,Lumbini General Insurance,POL-98834863,3,267,False
LU·PA9589,Andrew Ruiz,"4330 Raymond Harbors Apt. 458, Frazierside, MA 04118",2006,Chevrolet,Malibu,Blue,2023-09-02,Yes,Lumbini General Insurance,POL-31130263,0,0,False
NA·PA9849,Wesley White,"USNV Johnson, FPO AP 57460",2017,Honda,HR-V,Gray,2024-12-17,Yes,Nepal Insurance Co.,POL-93131979,0,0,False
DH·MN5283,Richard Graham,"Unit 1693 Box 4060, DPO AP 71076",2015,Kia,Sportage,Maroon,2024-02-15,No,,,2,334,False
RA·PA252,Teresa Mclaughlin,"59514 Estrada Islands Suite 482, South Elizabeth, MS 89278",2008,Ford,F-150,Gold,2025-02-23,Yes,Everest Insurance,POL-56843172,4,1100,False
GA·CHA7279,Carrie Carroll,"4369 Marshall Mills, New Thomas, MH 96964",2025,Chevrolet,Trax,Gold,2030-02-02,Yes,Shikhar Insurance,POL-99038526,0,0,False
GA·PA1853,Bradley Robertson,"34332 Brandon Mountains Apt. 769, Lake Heather, NM 52884",2014,Chevrolet,Cruze,Red,2028-04-08,Yes,Shikhar Insurance,POL-77834855,1,281,False
BA·PA7039,Matthew Smith,"3287 Angela Vista, South Dennismouth, TN 70117",2015,Kia,Seltos,White,2029-12-01,Yes,Everest Insurance,POL-69302158,1,159,False
JA·PA2542,Linda Dodson DVM,"727 Green Gateway Suite 873, Scottport, IA 36115",2023,Chevrolet,Malibu,Blue,2028-10-03,No,,,0,0,False
RA·GA753,Steven Miller,"231 Russell Plains Suite 603, Priceshire, UT 03061",2012,Tata,Harrier,Maroon,2028-04-30,Yes,Prime Life Insurance,POL-93303777,3,858,False
NA·GA3000,Pamela James,"6688 Tracy Groves Suite 706, Elizabethfurt, VA 22133",2015,Nissan,Altima,Black,2028-08-27,Yes,Himalayan General Insurance,POL-45810056,0,0,False
PG·GA734,Tamara Hooper,"901 Taylor Mountain Apt. 046, Jasonmouth, MA 50193",2019,Ford,Ranger,Gray,2027-08-16,Yes,Himalayan General Insurance,POL-63481198,0,0,False
RA·JA5853,Trevor Fisher,"80531 Karen Gateway Apt. 092, East Thomas, DE 74421",2022,Chevrolet,Equinox,Maroon,2026-07-02,No,,,5,475,False
GA·PA1876,Julie Scott,"41904 Sanders Stravenue, North Brittany, MP 82714",2015,Mahindra,Thar,Blue,2029-03-19,No,,,5,490,False
BH·HA127,Michael Turner,"058 Stanley Cliff, Alexanderchester, GU 64752",2011,Chevrolet,Spark,Maroon,2026-09-27,Yes,Prabhu Insurance,POL-93638503,0,0,False
BH·JA8408,Tyler Reid,"2849 Marshall Views, Marcusbury, MP 11860",2017,Kia,Sonet,Blue,2029-06-15,No,,,0,0,False
SA·KA2951,Jerry Christensen,"0752 Lewis Union Suite 549, Angelahaven, ID 11722",2017,Mahindra,XUV300,Red,2026-05-07,Yes,Himalayan General Insurance,POL-67698610,4,820,False
ME·HA7344,Jason Peters,"770 Kelly Lodge Apt. 495, Transtad, NE 98272",2010,Suzuki,Alto,Beige,2027-12-09,Yes,Siddhartha Insurance,POL-54988206,0,0,False
LU·KA5185,Heather Chavez,"35182 Javier Orchard, Jennyhaven, PA 37594",2005,Suzuki,Dzire,Black,2023-09-05,Yes,Sagarmatha Insurance,POL-71124923,0,0,False
LU·KA6391,Dr. Elizabeth Ward,"0084 Dana Terrace, Garciatown, OK 37769",2009,Ford,Figo,Gray,2026-05-18,Yes,Sagarmatha Insurance,POL-67062156,0,0,False
BH·MN7711,Jeremiah Lopez,"16719 Edward Valleys Suite 131, Obrienbury, WI 68995",2019,Toyota,Hilux,Silver,2023-09-27,Yes,Lumbini General Insurance,POL-89920257,0,0,False
ME·MN8370,Terry Evans,"9909 Stacey Fords Apt. 412, East Andrea, GA 00851",2010,Nissan,Navara,Beige,2029-01-03,Yes,Himalayan General Insurance,POL-95585469,0,0,False
ME·KA4019,Michael Harrison,"471 Sandra Turnpike Apt. 618, Lake Edward, KY 19144",2014,Kia,Sonet,Silver,2024-06-17,Yes,Lumbini General Insurance,POL-20814950,0,0,False
BH·CHA3605,Christopher Parker,"1746 Mason Park Suite 190, Navarroview, AK 12471",2015,Honda,City,Green,2028-09-04,No,,,4,596,False
DH·KA420,Michael Valencia,"490 Thomas Run, Moonburgh, OR 57633",2005,Mahindra,Thar,Beige,2028-01-08,Yes,Prime Life Insurance,POL-82238741,3,567,False
LU·HA3695,Katherine Davis,"1256 Roberts Locks Apt. 715, Marcusfurt, VI 67950",2005,Kia,Sonet,Beige,2030-02-04,Yes,Prime Life Insurance,POL-32151928,4,1140,False
DH·MN541,April Booth,"85977 James Plaza, West Samuel, UT 64033",2005,Nissan,Navara,Gold,2023-12-10,No,,,1,62,False
KO·CHA7549,William Lynch,"8086 Jeffrey Ville, South Staceyberg, NM 94427",2013,Tata,Punch,Green,2028-09-16,Yes,Sagarmatha Insurance,POL-73123515,0,0,False
KO·CHA1224,Michael Perry,"78263 Michelle Harbor Suite 584, West Jessicashire, OR 87000",2011,Toyota,Camry,Gray,2029-10-30,No,,,0,0,False
DH·CHA7719,Charles Ryan MD,"5339 Hall Trail Suite 057, Hughesberg, NM 05353",2024,Kia,Carnival,Black,2026-12-27,Yes,Everest Insurance,POL-51746937,0,0,True
GA·MN6249,Vincent Rivera,"87026 Charles Tunnel Suite 596, Port Markside, MS 42006",2023,Nissan,Sentra,Silver,2029-11-11,Yes,Shikhar Insurance,POL-90585882,4,1012,False
RA·PA5788,Stacy Freeman,"43161 Scott Square, Rebeccaton, MD 07856",2016,Chevrolet,Equinox,Maroon,2024-06-06,No,,,0,0,False
PG·JA7632,James Thomas,"21969 Tyler Prairie, East Steven, KS 60737",2021,Hyundai,Elantra,Black,2027-11-11,Yes,Lumbini General Insurance,POL-74893936,1,261,False
GA·JA4122,Adam Ballard,"PSC 8217, Box 5946, APO AP 33281",2012,Honda,CR-V,Beige,2029-07-17,Yes,Prime Life Insurance,POL-55150390,0,0,False
NA·HA3575,Eric Kidd,"69594 Johnson Village, Hillshire, VI 90390",2013,Tata,Punch,Blue,2030-04-12,Yes,Lumbini General Insurance,POL-11362459,1,98,False
BH·HA8104,Valerie Lozano,"95339 Byrd Stravenue Apt. 104, Johnsonstad, VA 17725",2025,Chevrolet,Cruze,Beige,2028-11-09,Yes,Sagarmatha Insurance,POL-49491631,0,0,False
GA·KA9628,Edward Burgess,"588 Rivas Glens, Coffeyport, WA 44897",2021,Tata,Safari,Brown,2029-06-07,Yes,United Insurance,POL-46361787,0,0,False
BH·CHA5269,Julie Jones,"685 Krystal Bridge, Amandamouth, MN 88689",2010,Honda,HR-V,Brown,2023-08-18,Yes,Siddhartha Insurance,POL-80415568,2,150,False
GA·CHA6012,Deborah James,"37098 Herman Forges Apt. 746, East Brandonton, ME 65070",2022,Hyundai,i20,White,2026-02-01,Yes,Lumbini General Insurance,POL-49209916,3,246,False
RA·HA1780,David Medina,"869 Nicole Shoal Apt. 796, Antoniostad, IL 58616",2020,Toyota,Yaris,Beige,2027-05-19,Yes,Shikhar Insurance,POL-74119726,0,0,True
ME·PA9553,David Cox,"Unit 5850 Box 6431, DPO AA 12516",2023,Toyota,RAV4,Black,2026-10-28,Yes,Sagarmatha Insurance,POL-84903294,3,615,False
DH·CHA8661,Maria Harper,"29318 Brenda Via Apt. 529, West Micheleberg, DC 71308",2014,Nissan,Patrol,Beige,2028-10-01,Yes,Siddhartha Insurance,POL-18083974,2,478,False
RA·CHA3557,Christopher Guerrero,"3950 Joseph Crossroad, Foxland, NJ 59257",2012,Kia,Seltos,Black,2025-12-03,No,,,0,0,False
ME·JA634,Kayla Rodriguez,"847 Bruce Neck, Simmonsville, NM 93876",2019,Suzuki,Baleno,Red,2025-01-12,Yes,Siddhartha Insurance,POL-98742485,4,400,False
SE·CHA2541,Angel Miller,"49985 Vang Pines, Shawnchester, CT 92484",2006,Kia,Sportage,Silver,2024-08-14,Yes,Siddhartha Insurance,POL-48736657,0,0,False
GA·KA6694,Matthew Rich,"7365 Ross Stream, West Ronaldview, MN 20507",2020,Kia,Rio,Brown,2029-09-12,No,,,0,0,False
GA·PA1596,Kara Davis,"52809 Santiago Loop Suite 604, Michaelshire, NY 28385",2023,Suzuki,Ertiga,Gold,2030-02-11,Yes,Siddhartha Insurance,POL-15399803,3,282,False
SA·HA4657,John Boone,"49368 Chelsea Shoals Suite 024, Sandrastad, AL 24278",2025,Hyundai,Santa Fe,Green,2026-11-09,Yes,Prime Life Insurance,POL-54735895,0,0,False
NA·JA6844,Kylie Morales,"83667 Moore Inlet, Kimberlyshire, PA 11636",2017,Ford,Endeavour,Maroon,2029-06-06,No,,,0,0,False
JA·GA6722,Brittney Webster,"7679 Perry Forge, West Russellport, TX 89431",2022,Chevrolet,Malibu,Maroon,2026-08-26,No,,,0,0,False
SA·HA945,Kelsey Parker,"34324 Murphy Avenue, Burgessburgh, DC 50335",2009,Suzuki,Baleno,Brown,2028-10-20,Yes,United Insurance,POL-26297533,0,0,False
RA·CHA2694,Crystal Hansen,"60607 Michelle Ports Suite 966, Dariustown, MD 23028",2022,Kia,Rio,White,2027-08-10,Yes,Sagarmatha Insurance,POL-71934487,5,1075,False
ME·KA4881,Lisa Collier,"PSC 1613, Box 6968, APO AE 52374",2020,Chevrolet,Trax,Green,2027-09-18,Yes,Everest Insurance,POL-61484043,0,0,False
BH·CHA1243,Nichole Walker,"188 Rebecca Keys, Jessicaberg, IA 13975",2021,Kia,Sonet,Blue,2026-05-12,Yes,Shikhar Insurance,POL-88777447,2,436,False
NA·HA8924,Craig Morrison,"77997 Lin Road, Edwardland, NJ 58462",2022,Ford,Endeavour,Blue,2028-06-17,Yes,Prabhu Insurance,POL-35320492,5,555,False
LU·GA6830,Rebecca Vargas,"7700 Decker Club, New Brookefurt, NH 76565",2017,Toyota,Land Cruiser,Beige,2030-01-25,Yes,Everest Insurance,POL-76481885,5,410,False
DH·JA1744,Rebecca Huang,"9782 Shannon Valleys, Toniland, NY 85190",2019,Ford,Ecosport,Brown,2025-07-14,Yes,Everest Insurance,POL-20043277,1,298,False
DH·KA6612,David Kim,"5466 Shelton Center, Cameronville, OH 89417",2022,Honda,CR-V,Maroon,2028-02-14,Yes,United Insurance,POL-82613940,0,0,True
SA·KA4808,David York,"Unit 9251 Box 9254, DPO AP 92052",2018,Suzuki,Ertiga,Silver,2029-11-24,Yes,Sagarmatha Insurance,POL-69549527,0,0,False
BA·PA5414,Betty Fletcher,"528 Debbie Manors Suite 054, East Matthew, WI 64237",2016,Toyota,Yaris,Blue,2027-09-19,Yes,Siddhartha Insurance,POL-34166826,0,0,True
PG·MN4045,Zachary Moore,"880 Walter River, New Nicholas, GA 24204",2012,Ford,F-150,Black,2027-10-09,Yes,Nepal Insurance Co.,POL-72445234,5,1115,False
JA·HA5761,Patricia Lamb,"65379 Goodwin Tunnel Suite 383, Tammyfort, MH 25931",2018,Mahindra,Bolero,Maroon,2028-11-27,Yes,Himalayan General Insurance,POL-61632653,4,308,False
DH·JA9517,Travis Joyce,"8862 Laurie Dam Suite 075, Lake Meghanville, LA 11494",2017,Kia,Carnival,White,2029-07-09,Yes,Nepal Insurance Co.,POL-91390501,3,789,False
GA·GA3870,Denise Whitehead,"37506 Randy Landing Apt. 615, North Lucas, CT 94178",2025,Mahindra,Bolero,Gray,2024-12-08,Yes,Everest Insurance,POL-94322033,0,0,False
BA·JA7322,Raven Taylor,"277 Rebecca Brook Suite 328, Rodriguezport, IA 39973",2007,Toyota,Land Cruiser,Black,2028-03-06,Yes,Everest Insurance,POL-36950221,0,0,False
KO·MN8321,David Fowler,"79808 Jennifer Highway, Smithstad, IA 75299",2020,Kia,Sportage,Red,2028-01-01,Yes,Prabhu Insurance,POL-25457816,1,69,False
LU·GA6611,Matthew Miller,"Unit 1888 Box 8806, DPO AA 06207",2017,Chevrolet,Trax,Silver,2025-08-25,Yes,Shikhar Insurance,POL-88458327,0,0,False
KO·PA3930,Veronica King,"3195 Bradley Plains, Lisaburgh, MP 90243",2022,Ford,Ecosport,Gold,2029-10-07,Yes,Sagarmatha Insurance,POL-95282470,4,1128,False
SA·HA2011,Michael Welch,"704 Bradley Flats, West Sarahhaven, MO 71677",2014,Hyundai,Tucson,White,2026-12-30,No,,,4,336,False
KO·KA8950,Andrew Lucas,"541 Kim Locks, Klinefurt, MA 24987",2018,Nissan,Navara,Black,2029-02-02,Yes,Shikhar Insurance,POL-14391105,3,315,False
LU·GA6042,Jonathan Glass MD,"69284 Garcia Islands Suite 479, Jacksonmouth, MI 59107",2022,Honda,HR-V,Blue,2029-12-17,Yes,Prime Life Insurance,POL-47028180,0,0,False
ME·PA3575,Sergio Gomez,"Unit 4016 Box 5820, DPO AE 80136",2015,Mahindra,Scorpio,White,2025-08-21,Yes,Himalayan General Insurance,POL-19208698,4,764,False
LU·GA3917,Jessica Martinez,"6909 Erika Land Suite 719, New Michael, MD 85640",2005,Tata,Harrier,Gold,2027-02-27,Yes,Lumbini General Insurance,POL-43642236,4,312,False
BA·CHA343,Tyler Johnson,"144 Lewis Ridge Suite 731, Port Charles, HI 94003",2015,Tata,Harrier,Gold,2024-11-08,No,,,3,552,False
JA·HA7444,Brandon Fleming,"518 Vance Vista Apt. 258, North Tracie, WY 18703",2008,Tata,Altroz,Gold,2027-08-03,Yes,Nepal Insurance Co.,POL-98436473,1,167,False
BA·PA7947,Johnny Ward,"291 Kyle Stravenue Suite 866, East Teresaland, NV 61558",2008,Nissan,Patrol,Maroon,2028-10-31,No,,,0,0,False
JA·CHA4605,Haley Humphrey,"68018 Kevin Estates, Sarahbury, MI 68513",2015,Mahindra,XUV300,Brown,2029-09-11,Yes,United Insurance,POL-77853916,2,150,False
JA·GA9133,Sarah King,"49818 Brittany Prairie Apt. 299, Meganshire, AZ 04219",2012,Suzuki,Vitara,Beige,2028-11-20,Yes,Sagarmatha Insurance,POL-51949529,0,0,False
KO·CHA7870,Travis Wise,"690 Small Plains, Dawnport, NJ 32597",2007,Honda,Civic,Silver,2028-06-08,Yes,Lumbini General Insurance,POL-18050510,2,386,False
SA·PA6830,Melinda Evans,"76773 Lawson Island, Jessicastad, MO 17640",2014,Tata,Safari,White,2028-04-26,No,,,1,89,False
LU·GA1873,Kayla Rodriguez,"7321 Kelly Lights, Wrightburgh, GU 43418",2008,Tata,Altroz,Blue,2029-07-25,Yes,Prime Life Insurance,POL-85291541,5,1295,False
SA·KA9221,Michelle Lee,"4701 Wagner Garden Apt. 950, West Troyfort, LA 70846",2010,Toyota,Yaris,White,2028-01-29,Yes,Prabhu Insurance,POL-10819505,0,0,False
SA·HA1240,Brian Anderson,"5060 Michael Heights Apt. 687, Marciaville, DC 13173",2005,Hyundai,Venue,Maroon,2023-05-15,Yes,Prime Life Insurance,POL-70887307,0,0,False
BH·JA9399,Robert Morgan,"USNS Gonzalez, FPO AP 53111",2009,Mahindra,Scorpio,White,2026-01-24,Yes,Shikhar Insurance,POL-69473616,2,348,False
PG·JA3631,Amber Taylor,"729 Mark Ridge Suite 269, Brittneyhaven, MP 67310",2018,Chevrolet,Malibu,Blue,2023-08-13,Yes,Shikhar Insurance,POL-16095815,0,0,False
BA·PA3449,Michelle Evans,"1694 Candice Greens Apt. 097, New Cristina, RI 50333",2013,Kia,Sportage,Black,2027-01-07,No,,,3,282,False
SE·KA3870,Michael Johnson,"USS Lee, FPO AA 41617",2016,Chevrolet,Spark,Maroon,2026-02-08,Yes,United Insurance,POL-20450542,4,788,False
PG·KA6943,Jason Harris,"028 Ann Shore Suite 865, South Rhonda, MA 72102",2005,Kia,Seltos,Green,2027-04-23,Yes,Siddhartha Insurance,POL-71753160,4,1140,False
PG·GA1834,Raymond Le,"733 Grant Fork Suite 437, Timothyside, WY 95090",2017,Suzuki,Vitara,Gold,2028-07-25,Yes,Prabhu Insurance,POL-39738898,0,0,False
SE·KA1968,Bryan Rhodes,"2404 Michael Mills Suite 733, Sarahview, DC 14817",2016,Chevrolet,Spark,Gray,2029-12-18,Yes,Himalayan General Insurance,POL-23798190,0,0,False
DH·CHA1334,Laurie Sanchez,"301 Rivera Mountains, Lake Kellitown, OH 21202",2019,Hyundai,Venue,Beige,2029-08-05,Yes,Siddhartha Insurance,POL-96300902,2,418,False
SA·JA2573,Timothy Johns,"5401 Amanda Stream, East Robertburgh, PW 05264",2019,Ford,Ecosport,Beige,2027-11-20,Yes,Prabhu Insurance,POL-78093604,0,0,False
BA·PA6141,Jennifer Simpson DVM,"USNV Mcdowell, FPO AE 39611",2007,Kia,Seltos,Maroon,2029-03-10,Yes,Siddhartha Insurance,POL-84399083,5,1195,False
ME·GA9466,Ashley Bird,"87431 Martin Mount Suite 205, Ashleyborough, HI 80580",2020,Suzuki,Baleno,Gold,2026-09-10,Yes,Prabhu Insurance,POL-21318464,1,94,True
BH·HA7299,Stephanie Wilcox,"1227 Boyle Avenue, Patrickmouth, WV 35496",2010,Chevrolet,Spark,Gold,2027-12-07,Yes,Prabhu Insurance,POL-90246882,0,0,False
KO·PA5501,Elizabeth Sharp,"301 Parker Lodge Suite 145, East Susan, NJ 20579",2017,Honda,Jazz,Maroon,2030-01-10,Yes,Siddhartha Insurance,POL-30182766,0,0,False
NA·JA5182,William Brooks,"339 Alicia Pines Suite 191, Port Amyhaven, ID 75566",2007,Nissan,Sentra,Gold,2028-06-16,Yes,Prabhu Insurance,POL-27152188,3,786,False
SA·MN1631,Carmen Bond,"971 Stokes Motorway, New Robert, OK 08068",2005,Nissan,Navara,Blue,2027-05-11,Yes,Prabhu Insurance,POL-75266178,0,0,False
NA·PA4946,Megan Parker,"39106 Graves Plains Apt. 170, Robertberg, WI 84586",2021,Honda,Jazz,Brown,2024-06-15,Yes,Siddhartha Insurance,POL-27589104,2,178,False
BH·GA2812,Maria Fisher,"Unit 6766 Box 1825, DPO AE 23893",2016,Ford,Ecosport,Green,2027-09-05,Yes,Siddhartha Insurance,POL-48242379,3,750,False
SE·CHA5170,Jenna Anderson DVM,"7868 Morrow Gateway, Reedview, ID 95531",2023,Ford,Ranger,Blue,2028-12-07,Yes,Prime Life Insurance,POL-77498993,1,297,False
LU·GA2367,Amanda Keller,"31190 Harper Squares, East Joyfurt, NV 31216",2020,Kia,Seltos,Maroon,2029-06-15,Yes,Lumbini General Insurance,POL-26733967,0,0,False
GA·HA8510,Nicole Parsons,"95995 Kevin Divide Apt. 644, New Stacyburgh, SC 89466",2012,Hyundai,Elantra,Silver,2028-04-21,Yes,Prime Life Insurance,POL-17148018,0,0,False
PG·PA6242,Jon Compton,"USCGC Floyd, FPO AA 91767",2008,Suzuki,Swift,Blue,2029-12-28,Yes,Everest Insurance,POL-28468304,0,0,False
ME·KA2373,Chase Bennett,"34270 Faulkner Point Apt. 634, West Deborah, NV 49138",2005,Ford,Figo,Gold,2026-06-14,Yes,Everest Insurance,POL-83659258,5,1025,False
JA·GA4820,Nathaniel Lee,"39837 Molly Isle, Susantown, IL 25407",2006,Suzuki,Baleno,Silver,2023-10-12,No,,,4,708,False
BA·KA8543,Autumn Key,"936 Andrea Trail, Oscarside, SD 47589",2014,Mahindra,XUV700,Black,2029-10-17,Yes,Siddhartha Insurance,POL-65910756,0,0,False
SE·JA1208,Ian Andrade,"3556 Anna Forges Apt. 048, Phillipsborough, MA 30650",2021,Chevrolet,Spark,Brown,2028-07-14,Yes,Nepal Insurance Co.,POL-95318289,0,0,False
BH·PA5950,Roy Porter,"7772 Jackson Stravenue Suite 280, Port Melanieton, WV 01337",2025,Honda,CR-V,Gray,2024-06-24,No,,,0,0,False
SA·CHA7712,Ryan Hall,"87509 Hopkins Brook, New Andreatown, AK 69892",2007,Ford,Ranger,Black,2028-11-29,No,,,0,0,False
BA·JA5180,Kimberly Mitchell,"11823 Christine Glen Suite 461, Susanmouth, OK 32378",2020,Chevrolet,Equinox,Brown,2029-12-21,No,,,0,0,False
SA·JA4576,Courtney Sutton DVM,"66687 Dana Squares, North Vincent, NE 85030",2017,Honda,CR-V,Green,2028-07-06,Yes,Everest Insurance,POL-76599269,3,432,False
SE·JA1453,Kylie Hodge,"39740 Gabrielle Harbors, East Sarahmouth, AK 27653",2024,Nissan,Altima,Green,2027-05-11,Yes,Prabhu Insurance,POL-23770458,0,0,False
GA·HA9973,Nicole Marquez,"2939 Rhodes Plains, Patrickberg, WY 90850",2016,Nissan,Sentra,Beige,2028-04-28,Yes,Prime Life Insurance,POL-46850196,2,504,False
JA·KA6755,Kathryn Mccann,"15999 Novak Islands Apt. 477, West Angela, MS 57104",2010,Tata,Altroz,Maroon,2027-02-23,Yes,United Insurance,POL-14670638,0,0,False
SA·JA6033,Kevin James,"11426 Jodi Island Suite 110, Seanview, CT 17868",2024,Nissan,Navara,White,2023-10-27,Yes,Prabhu Insurance,POL-69584522,3,588,False
KO·HA5250,Jeffrey Hawkins,"15819 Shields Bridge, Robertland, VA 73840",2005,Kia,Sportage,Silver,2029-02-22,Yes,Lumbini General Insurance,POL-25805613,0,0,False
ME·CHA4778,Vanessa Armstrong,"24447 Bryan Mews Suite 647, West Johnathanbury, VA 82425",2009,Ford,Ranger,Silver,2028-11-17,No,,,3,216,False
KO·KA5792,Luis Ellis Jr.,"9657 Jordan View Apt. 459, South Leon, MO 42331",2014,Honda,Jazz,Brown,2027-03-25,Yes,Everest Insurance,POL-58518659,1,81,False
RA·CHA3978,Michael Henry,"6465 Sarah Flats, Lake Katrina, AK 95818",2022,Ford,Ecosport,Blue,2028-12-19,Yes,Lumbini General Insurance,POL-27417599,2,144,True
PG·KA7942,Michael Gonzales,"7243 Hopkins Stravenue, Mccormickland, NV 78873",2023,Chevrolet,Equinox,Green,2024-07-25,Yes,United Insurance,POL-72523073,3,414,False
RA·MN9730,James Hunter,"PSC 6805, Box 8911, APO AE 86694",2021,Hyundai,Creta,Green,2026-08-28,Yes,Lumbini General Insurance,POL-30537388,0,0,False
BH·CHA5769,Carol Salazar,"6101 Walker Summit Apt. 756, Bartonshire, UT 66098",2013,Chevrolet,Trax,Silver,2024-10-20,No,,,0,0,False
SE·KA2862,Zachary Webb,"25457 Adriana Keys, Davismouth, MD 09305",2010,Mahindra,XUV300,Black,2029-09-27,Yes,Siddhartha Insurance,POL-15529005,4,228,False
SA·GA9549,Robert Wilson,"238 Andrea Isle, Mullenbury, AS 53591",2018,Kia,Sportage,Gold,2026-07-08,Yes,Lumbini General Insurance,POL-48879071,2,254,False
RA·GA6753,Charlotte Sandoval,"9660 Jamie Terrace, New Cristianside, HI 48446",2006,Kia,Sonet,Silver,2024-01-05,Yes,Himalayan General Insurance,POL-55659873,2,260,False
KO·KA5758,Jim Baker,"696 Michael Vista Suite 924, Lake Dennisville, IA 40527",2021,Nissan,Sentra,Blue,2028-02-19,Yes,Sagarmatha Insurance,POL-45899440,1,86,False
GA·HA6950,James Thomas,"662 Reid Square, New Garrett, LA 18889",2023,Suzuki,Dzire,Blue,2027-05-30,Yes,United Insurance,POL-79085198,1,275,False
BA·PA6542,Ryan Harvey,"2368 Ortiz Overpass, Mckinneymouth, NM 22423",2011,Chevrolet,Equinox,Gray,2026-08-14,No,,,1,275,False
SA·HA4781,Andre Juarez,"84279 Dunn Creek Apt. 485, Port Jenniferside, IL 56226",2018,Chevrolet,Malibu,Silver,2024-11-10,Yes,Prime Life Insurance,POL-59115280,0,0,True
SE·CHA6039,Ronald Potter,"4517 Kimberly Freeway, Port Joan, UT 46458",2017,Chevrolet,Trax,Silver,2029-06-06,Yes,Siddhartha Insurance,POL-92012822,0,0,False
PG·JA5655,Lisa Patterson,"09584 Mario Squares, Keithview, PR 67926",2011,Chevrolet,Trax,Black,2028-08-06,Yes,Nepal Insurance Co.,POL-15222944,0,0,False
ME·MN7587,Miss Anna Estes,"2232 Poole Trace, Burnsshire, SC 35722",2009,Hyundai,Santa Fe,Brown,2029-10-13,Yes,Prime Life Insurance,POL-92745294,3,378,False
